,newid,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr
9596,13535,LA,2,M,N,N,N,N,N,Y,N,N
9597,13536,EN,2,F,Y,N,Y,N,N,N,N,N
9598,13537,LA,0,F,N,N,N,N,N,Y,N,N
9599,13538,LA,1,M,N,N,N,N,N,Y,N,N
9600,13539,BU,2,M,N,N,N,N,N,N,N,Y
9601,13540,LA,1,F,N,N,N,N,N,Y,N,N
9602,13541,AR,1,M,N,N,N,N,N,Y,N,N
9603,13542,AR,1,F,N,N,N,N,N,Y,N,N
9604,13543,BU,2,F,N,N,N,N,N,Y,N,N
9605,13544,LA,1,M,N,N,N,N,N,Y,N,N
9606,13545,EN,2,M,N,N,N,N,N,Y,N,N
9607,13546,LA,2,M,N,N,N,N,N,Y,N,N
9608,13547,LA,1,M,N,N,Y,N,N,N,N,N
9609,13548,LA,1,M,N,N,N,N,N,Y,N,N
9610,13549,LA,2,F,N,N,N,N,N,Y,N,N
9611,13550,AR,1,F,Y,N,N,N,N,Y,N,N
9612,13551,EN,1,F,Y,N,N,N,N,Y,N,N
9613,13552,LA,0,F,N,N,N,N,N,Y,N,N
9614,13553,BU,1,M,N,N,N,Y,N,N,N,N
9615,13554,LA,2,F,N,N,N,N,N,Y,N,N
9616,13555,FA,0,F,N,N,Y,N,N,N,Y,N
9617,13556,FA,1,F,N,N,Y,N,N,N,Y,N
9618,13557,LA,2,M,N,N,N,N,N,Y,N,N
9619,13558,LA,2,M,N,N,N,N,N,Y,N,N
9620,13559,EN,2,M,Y,N,N,N,N,Y,N,N
9621,13560,LA,1,F,N,N,N,N,N,Y,N,N
9622,13561,LA,1,F,N,N,Y,N,N,Y,N,N
9623,13562,LA,2,F,N,N,N,N,N,Y,N,N
9624,13563,EN,2,F,N,N,Y,N,N,N,N,N
9625,13564,AR,1,F,N,N,N,N,N,Y,N,N
9626,13565,LA,2,M,N,N,N,N,N,Y,N,N
9627,13566,LA,1,F,N,N,Y,N,N,Y,N,N
9628,13567,AR,4,F,N,N,Y,N,N,N,Y,N
9629,13568,LA,2,F,N,N,Y,N,N,N,N,N
9630,13569,LA,2,F,N,N,Y,N,N,N,N,N
9631,13570,BU,1,M,N,N,Y,N,N,N,N,N
9632,13571,LA,2,F,Y,N,Y,N,N,N,N,N
9633,13572,LA,2,M,Y,N,N,N,N,Y,N,N
9634,13573,LA,1,M,N,N,N,N,N,Y,N,N
9635,13574,EN,2,M,N,N,Y,N,N,Y,N,N
9636,13575,LA,1,F,N,N,N,N,N,Y,N,N
9637,13576,EN,1,M,N,N,Y,N,N,Y,N,N
9638,13577,LA,2,F,N,N,Y,N,N,N,N,N
9639,13578,LA,2,F,N,N,N,N,N,Y,N,N
9640,13579,LA,1,M,N,N,Y,N,N,N,N,N
9641,13580,AR,1,F,N,N,Y,N,N,N,Y,N
9642,13581,EN,2,M,N,N,N,N,N,Y,N,N
9643,13582,EN,2,M,Y,Y,N,N,N,Y,N,N
9644,13583,EN,1,M,N,N,N,N,N,Y,N,N
9645,13584,LA,2,F,N,N,Y,N,N,N,N,N
9646,13585,AR,1,M,N,N,N,N,N,Y,N,N
9647,13586,LA,1,F,N,N,N,N,N,Y,N,N
9648,13587,BU,2,M,N,N,N,N,N,Y,N,N
9649,13588,LA,2,F,Y,N,N,N,N,Y,N,N
9650,13589,LA,2,F,N,N,N,N,N,Y,N,N
