id,terminal,num,datetime,PrimeDiv,StdtLevel,sex,hispanic,Nativeam,Asian,black,NHPacific,white,nralien,nr,date,product,quantity,price
8004,DeliciOSO 10 Server B,3793,2013-10-06T15:07:37Z,BU,5,M,N,N,Y,N,N,N,N,N,2013-10-06,Guac side,1,1.35
8004,DeliciOSO 10 Server B,3793,2013-10-06T15:07:37Z,BU,5,M,N,N,Y,N,N,N,N,N,2013-10-06,Burrito,1,5.35
8004,DeliciOSO 10 Server B,3793,2013-10-06T15:07:37Z,BU,5,M,N,N,Y,N,N,N,N,N,2013-10-06,Queso Cheese,1,1.1
9248,DeliciOSO 10 Server B,3794,2013-10-06T15:08:00Z,LA,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Milk Chug,1,1.7
9248,DeliciOSO 10 Server B,3794,2013-10-06T15:08:00Z,LA,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Quesadilla -Veg,1,5.35
9248,DeliciOSO 10 Server B,3794,2013-10-06T15:08:00Z,LA,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Queso Cheese,1,1.1
8229,DeliciOSO 10 Server B,3795,2013-10-06T15:08:45Z,BU,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Guac side,1,1.35
8229,DeliciOSO 10 Server B,3795,2013-10-06T15:08:45Z,BU,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Burrito,1,5.35
8229,DeliciOSO 10 Server B,3795,2013-10-06T15:08:45Z,BU,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Chips & Salsa,1,1.85
7092,DeliciOSO 10 Server B,3796,2013-10-06T15:09:09Z,EN,7,F,N,N,N,N,N,N,N,Y,2013-10-06,Soda-Reg,1,1.5
NA,NA,3797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Soda-Reg,1,1.5
NA,NA,3797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Guac side,1,1.35
NA,NA,3797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Taco Salad,1,5.75
5219,DeliciOSO 10 Server B,3798,2013-10-06T15:09:53Z,BU,8,F,N,N,Y,N,N,N,Y,N,2013-10-06,Daily Special,1,1.95
8047,DeliciOSO 10 Server B,3799,2013-10-06T15:10:06Z,LA,4,M,Y,N,N,N,N,Y,N,N,2013-10-06,Guac side,1,1.35
8047,DeliciOSO 10 Server B,3799,2013-10-06T15:10:06Z,LA,4,M,Y,N,N,N,N,Y,N,N,2013-10-06,Burrito,1,5.35
8264,DeliciOSO 10 Server B,3800,2013-10-06T15:10:32Z,BU,6,F,N,N,Y,N,N,Y,N,N,2013-10-06,Cheese,1,0.55
8264,DeliciOSO 10 Server B,3800,2013-10-06T15:10:32Z,BU,6,F,N,N,Y,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
2216,DeliciOSO 10 Server B,3801,2013-10-06T15:10:47Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Bottle Juice,1,2.1
2216,DeliciOSO 10 Server B,3801,2013-10-06T15:10:47Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
2581,DeliciOSO 10 Server B,3802,2013-10-06T15:11:06Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Guac side,1,1.35
2581,DeliciOSO 10 Server B,3802,2013-10-06T15:11:06Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
4379,DeliciOSO 10 Server B,3803,2013-10-06T15:11:22Z,GM,1,F,N,N,N,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
NA,NA,3804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-10-06,Daily Special,1,5.35
6213,DeliciOSO 10 Server B,3805,2013-10-06T15:14:41Z,BU,8,M,N,N,N,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
10947,DeliciOSO 10 Server B,3806,2013-10-06T15:14:56Z,LW,5,M,N,N,N,N,N,Y,N,N,2013-10-06,Daily Special,1,5.35
2076,DeliciOSO 10 Server B,3807,2013-10-06T15:15:14Z,EN,8,F,N,N,N,N,N,N,Y,N,2013-10-06,Soda-Reg,1,1.5
2708,DeliciOSO 10 Server B,3808,2013-10-06T15:16:43Z,LA,8,M,N,N,N,N,N,Y,N,N,2013-10-06,Guac side,1,1.35
2708,DeliciOSO 10 Server B,3808,2013-10-06T15:16:43Z,LA,8,M,N,N,N,N,N,Y,N,N,2013-10-06,Burrito,1,5.35
4670,DeliciOSO 10 Server B,3809,2013-10-06T15:16:47Z,LA,8,F,N,N,N,N,N,N,N,Y,2013-10-06,Guac side,1,1.35
4670,DeliciOSO 10 Server B,3809,2013-10-06T15:16:47Z,LA,8,F,N,N,N,N,N,N,N,Y,2013-10-06,Tortilla  Chips,1,1.09
4945,DeliciOSO 10 Server B,3810,2013-10-06T15:16:58Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Daily Special,1,5.35
4945,DeliciOSO 10 Server B,3810,2013-10-06T15:16:58Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Daily Special,1,1.95
2283,DeliciOSO 10 Server B,3811,2013-10-06T15:17:06Z,LA,8,M,N,N,N,N,N,N,Y,N,2013-10-06,Pizza Slice,1,2.99
8475,DeliciOSO 10 Server B,3812,2013-10-06T15:18:03Z,EN,7,F,N,N,Y,N,N,N,N,N,2013-10-06,Guac side,1,1.35
8475,DeliciOSO 10 Server B,3812,2013-10-06T15:18:03Z,EN,7,F,N,N,Y,N,N,N,N,N,2013-10-06,Burrito,1,5.35
3425,DeliciOSO 10 Server B,3813,2013-10-06T15:18:37Z,FA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Guac side,1,1.35
3425,DeliciOSO 10 Server B,3813,2013-10-06T15:18:37Z,FA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Taco Salad,1,5.75
4192,DeliciOSO 10 Server B,3814,2013-10-06T15:19:00Z,LA,8,F,N,N,N,N,N,Y,N,N,2013-10-06,Guac side,1,1.35
